year	currentIteration	infectedNodes
2007	1	{"1125___artificial neural network":[],"1128___time-varying delays":[],"128___velocity (software development)":[],"10392___content-addressable memory":[],"11136___multidimensional domains":[],"130___mathematical optimization":["5823___numerical analysis"],"10391___bidirectional associative memory":[],"1135___synchronization":[],"1134___lyapunov functional":["10406___bidirectional associative memory neural networks"],"11133___estimating integrals":[],"5822___evolutionary algorithm":[],"11134___widely used":[],"127___particle swarm optimization":[],"11140___monte carlo":[],"1132___social inequality":[],"1126___linear matrix inequality":["9607___lyapunov–krasovskii functional"],"11138___scientific computation especially":[],"1130___neural network simulation":["10863___rate of convergence","1149___lyapunov fractal"],"1136___chaos":["3269___lag synchronization"],"3138___cohen–grossberg neural networks":[]}
2007	2	{"5823___numerical analysis":[],"3269___lag synchronization":[],"9607___lyapunov–krasovskii functional":[],"10863___rate of convergence":[],"10406___bidirectional associative memory neural networks":["10405___distributed delays"],"1149___lyapunov fractal":[]}
2007	3	{"10405___distributed delays":[]}
2007	1	{"7783___experimental results":[],"1128___time-varying delays":[],"2270___fuzzy multi":[],"4736___substantially contribute":[],"10405___distributed delays":[],"128___velocity (software development)":[],"9607___lyapunov–krasovskii functional":[],"130___mathematical optimization":[],"10391___bidirectional associative memory":[],"2267___paper focuses":[],"5822___evolutionary algorithm":[],"11134___widely used":[],"127___particle swarm optimization":[],"4735___illegal trade":[],"10406___bidirectional associative memory neural networks":[],"5481___entry points":[],"1126___linear matrix inequality":[],"7755___lasalle invariance principle":[],"1149___lyapunov fractal":[],"7569___human colon":[],"11138___scientific computation especially":[],"4080___logarithmic domain computation":[],"1130___neural network simulation":[],"2268___fuzzy logic control":[],"4079___multiplier-less architecture":[],"10646___e systems":[],"1125___artificial neural network":[],"10392___content-addressable memory":[],"11136___multidimensional domains":[],"2272___mobility management":[],"3269___lag synchronization":[],"7756___mean square asymptotic stability":[],"1135___synchronization":[],"1134___lyapunov functional":[],"10863___rate of convergence":[],"11133___estimating integrals":[],"7570___endoscopic technique":[],"11140___monte carlo":[],"1132___social inequality":[],"5823___numerical analysis":[],"10648___varying delay":[],"3254___fuzzy rule":[],"5482___web forms":[],"7784___information retrieval":[],"1136___chaos":[],"3138___cohen–grossberg neural networks":[],"10645___varying delays":[],"3253___genetic algorithm":[]}
2008	1	{"1759___artificial neural network":["4926___biological neural networks"],"562___mathematical optimization":["561___numerical analysis","6622___rate of convergence"],"564___social inequality":["3082___exponential","1782___neural networks","1770___lyapunov method"],"1762___linear matrix inequality":["2660___lyapunov–krasovskii functional","2659___unbounded distributed delays","4907___varying delays","4915___exponential stability"],"1764___lyapunov fractal":[]}
2008	2	{"561___numerical analysis":[],"3082___exponential":[],"1782___neural networks":[],"2660___lyapunov–krasovskii functional":[],"4926___biological neural networks":[],"2659___unbounded distributed delays":["1771___global asymptotic stability"],"6622___rate of convergence":["6621___global optimization"],"4915___exponential stability":[],"4907___varying delays":[],"1770___lyapunov method":[]}
2008	3	{"1771___global asymptotic stability":[],"6621___global optimization":[]}
2008	1	{"9352___instance selection":["9349___image scaling","9354___subgroup discovery"],"1759___artificial neural network":["4926___biological neural networks"],"561___numerical analysis":[],"562___mathematical optimization":[],"564___social inequality":[],"2556___interference (communication)":["2046___cognitive radio","3144___systems architecture"],"559___algorithm":["560___computation"],"1762___linear matrix inequality":["1782___neural networks","2660___lyapunov–krasovskii functional","2659___unbounded distributed delays","4907___varying delays","4915___exponential stability"],"1770___lyapunov method":[],"1764___lyapunov fractal":["3082___exponential"]}
2008	2	{"3082___exponential":[],"9349___image scaling":["9350___selection algorithm"],"2046___cognitive radio":["2045___simulation"],"1782___neural networks":[],"2660___lyapunov–krasovskii functional":[],"4926___biological neural networks":[],"2659___unbounded distributed delays":[],"3144___systems architecture":["3152___signal-to-interference-plus-noise ratio"],"4915___exponential stability":[],"4907___varying delays":[],"9354___subgroup discovery":[],"560___computation":[]}
2008	3	{"3152___signal-to-interference-plus-noise ratio":[],"9350___selection algorithm":[],"2045___simulation":[]}
2008	1	{"1759___artificial neural network":["4926___biological neural networks"],"9349___image scaling":[],"3152___signal-to-interference-plus-noise ratio":[],"3148___multi-user":[],"562___mathematical optimization":["6622___rate of convergence"],"3150___relay":[],"3146___user interface":[],"3144___systems architecture":[],"564___social inequality":[],"1762___linear matrix inequality":["1771___global asymptotic stability","4907___varying delays","4915___exponential stability"],"1764___lyapunov fractal":["1782___neural networks"],"9352___instance selection":[],"561___numerical analysis":[],"9350___selection algorithm":[],"3142___ici (programming language)":[],"2555___throughput":[],"2556___interference (communication)":[],"9354___subgroup discovery":[],"559___algorithm":["560___computation"],"1770___lyapunov method":[]}
2008	2	{"1782___neural networks":["3082___exponential"],"4926___biological neural networks":[],"1771___global asymptotic stability":["2659___unbounded distributed delays"],"6622___rate of convergence":["6621___global optimization"],"4915___exponential stability":[],"4907___varying delays":[],"560___computation":[]}
2008	3	{"3082___exponential":[],"2659___unbounded distributed delays":[],"6621___global optimization":[]}
